"filename", "language", "JSON", "Markdown", "TypeScript", "JavaScript", "TypeScript React", "JavaScript React", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\crook\Documents\Algonex\Algonex_Code\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\config.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\exchangeDataDetailed.ts", "TypeScript", 0, 0, 70, 0, 0, 0, 0, 0, 0, 2, 72
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\package-lock.json", "JSON", 2415, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2416
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\package.json", "JSON", 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\_helpers\ccxt.service.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 0, 0, 0, 12, 80
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\_helpers\db.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\_helpers\error-handler.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 4, 4, 22
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\_helpers\jwt.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 2, 5, 28
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\coindata\coindata.controller.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 1, 4, 27
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\coindata\coindata.model.ts", "TypeScript", 0, 0, 125, 0, 0, 0, 0, 0, 0, 15, 140
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\coindata\coindata.service.ts", "TypeScript", 0, 0, 94, 0, 0, 0, 0, 0, 0, 20, 114
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\coindata\historical.model.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 0, 56, 19, 146
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\coindata\historical.service.ts", "TypeScript", 0, 0, 140, 0, 0, 0, 0, 0, 0, 26, 166
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\exchanges\exchange.model.ts", "TypeScript", 0, 0, 122, 0, 0, 0, 0, 0, 0, 14, 136
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\exchanges\exchange.service.ts", "TypeScript", 0, 0, 640, 0, 0, 0, 0, 0, 39, 121, 800
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\exchanges\exchanges.controller.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 0, 1, 10, 66
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\portfolios\portfolio.model.ts", "TypeScript", 0, 0, 81, 0, 0, 0, 0, 0, 8, 13, 102
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\portfolios\portfolios.controller.ts", "TypeScript", 0, 0, 125, 0, 0, 0, 0, 0, 1, 17, 143
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\portfolios\portfolios.service.ts", "TypeScript", 0, 0, 212, 0, 0, 0, 0, 0, 3, 41, 256
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\resources\XRPUSD.json", "JSON", 25596, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25596
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\server.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 4, 6, 37
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\transactions\order.model.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 0, 0, 2, 10, 70
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\transactions\transaction.model.ts", "TypeScript", 0, 0, 97, 0, 0, 0, 0, 0, 2, 14, 113
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\transactions\transactionView.ts", "TypeScript", 0, 0, 161, 0, 0, 0, 0, 0, 1, 26, 188
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\transactions\transactions.controller.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 1, 5, 31
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\transactions\transactions.service.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 13, 69
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\users\user.model.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\users\user.service.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 6, 15, 81
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\users\users.controller.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 17, 9, 61
"c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\tsconfig.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 4, 1, 22
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\metapoirtfolioData.json", "JSON", 106, 0, 0, 0, 0, 0, 0, 0, 0, 1, 107
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\package-lock.json", "JSON", 14031, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14032
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\package.json", "JSON", 112, 0, 0, 0, 0, 0, 0, 0, 0, 1, 113
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\Animations.tsx", "TypeScript React", 0, 0, 0, 0, 62, 0, 0, 0, 0, 4, 66
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\GeneralStyles.tsx", "TypeScript React", 0, 0, 0, 0, 129, 0, 0, 0, 0, 8, 137
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\IconStyles.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\ResponsiveDesign.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\TabularStyles.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 9, 71
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\Theme.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\index.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 25, 0, 1, 2, 28
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\App\App.scss", "SCSS", 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\App\App.tsx", "TypeScript React", 0, 0, 0, 0, 38, 0, 0, 0, 0, 4, 42
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\App\appStyles.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\App\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Application\Application.tsx", "TypeScript React", 0, 0, 0, 0, 73, 0, 0, 0, 0, 7, 80
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Application\Styles.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 4, 47
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Application\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Bots\Bots.tsx", "TypeScript React", 0, 0, 0, 0, 10, 0, 0, 0, 0, 6, 16
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Bots\Styles.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Bots\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Charts\Chart.jsx", "JavaScript React", 0, 0, 0, 0, 0, 53, 0, 0, 4, 12, 69
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Charts\Chart.scss", "SCSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Charts\Test.jsx", "JavaScript React", 0, 0, 0, 0, 0, 48, 0, 0, 0, 7, 55
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Charts\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Charts\test2.jsx", "JavaScript React", 0, 0, 0, 0, 0, 248, 0, 0, 133, 26, 407
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Dashboard\Dashboard.tsx", "TypeScript React", 0, 0, 0, 0, 41, 0, 0, 0, 4, 4, 49
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Dashboard\Styles.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Dashboard\index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
