Date : 2021-03-09 14:41:44
Directory : c:\Users\crook\Documents\Algonex\Algonex_Code
Total : 184 files,  51226 codes, 538 comments, 1268 blanks, all 53032 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |         10 |     42,344 |          4 |          9 |     42,357 |
| TypeScript       |         78 |      4,555 |        253 |        722 |      5,530 |
| TypeScript React |         43 |      3,611 |        141 |        453 |      4,205 |
| JavaScript React |          5 |        369 |        137 |         49 |        555 |
| JavaScript       |         41 |        199 |          1 |         28 |        228 |
| SCSS             |          5 |        115 |          2 |          6 |        123 |
| HTML             |          1 |         31 |          0 |          0 |         31 |
| Markdown         |          1 |          2 |          0 |          1 |          3 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |        184 |     51,226 |        538 |      1,268 |     53,032 |
| back-end                                                                                                               |         30 |     30,505 |        152 |        433 |     31,090 |
| back-end\src                                                                                                           |         25 |     27,958 |        148 |        427 |     28,533 |
| back-end\src\_helpers                                                                                                  |          4 |        126 |          6 |         24 |        156 |
| back-end\src\coindata                                                                                                  |          5 |        452 |         57 |         84 |        593 |
| back-end\src\exchanges                                                                                                 |          3 |        817 |         40 |        145 |      1,002 |
| back-end\src\portfolios                                                                                                |          3 |        418 |         12 |         71 |        501 |
| back-end\src\resources                                                                                                 |          1 |     25,596 |          0 |          0 |     25,596 |
| back-end\src\transactions                                                                                              |          5 |        397 |          6 |         68 |        471 |
| back-end\src\users                                                                                                     |          3 |        125 |         23 |         29 |        177 |
| front-end                                                                                                              |        148 |     20,544 |        386 |        814 |     21,744 |
| front-end\src                                                                                                          |        142 |      6,207 |        386 |        804 |      7,397 |
| front-end\src\AlgonexStyles                                                                                            |          8 |        347 |          1 |         29 |        377 |
| front-end\src\App                                                                                                      |          4 |         60 |          0 |          7 |         67 |
| front-end\src\Application                                                                                              |          3 |        117 |          0 |         11 |        128 |
| front-end\src\Bots                                                                                                     |          3 |         12 |          0 |          8 |         20 |
| front-end\src\Charts                                                                                                   |          5 |        359 |        137 |         46 |        542 |
| front-end\src\Dashboard                                                                                                |          3 |         65 |          4 |          7 |         76 |
| front-end\src\Exchanges                                                                                                |         11 |        789 |          0 |        112 |        901 |
| front-end\src\Exchanges\AddNewPopup                                                                                    |          4 |        367 |          0 |         48 |        415 |
| front-end\src\Exchanges\Forms                                                                                          |          3 |        164 |          0 |         24 |        188 |
| front-end\src\Hooks                                                                                                    |          3 |         40 |          6 |          7 |         53 |
| front-end\src\Nav                                                                                                      |         16 |        761 |          1 |        101 |        863 |
| front-end\src\Nav\BottomNav                                                                                            |          3 |         85 |          0 |         10 |         95 |
| front-end\src\Nav\Sidebar                                                                                              |          5 |        311 |          1 |         44 |        356 |
| front-end\src\Nav\Sidebar\ActionItem                                                                                   |          2 |        196 |          0 |         24 |        220 |
| front-end\src\Nav\TopNav                                                                                               |          7 |        362 |          0 |         46 |        408 |
| front-end\src\Nav\TopNav\Desktop                                                                                       |          3 |        171 |          0 |         20 |        191 |
| front-end\src\Nav\TopNav\Mobile                                                                                        |          3 |        189 |          0 |         25 |        214 |
| front-end\src\Portfolio                                                                                                |         21 |      1,143 |         63 |        144 |      1,350 |
| front-end\src\Portfolio\Charts                                                                                         |          3 |         64 |          0 |         12 |         76 |
| front-end\src\Portfolio\Holdings                                                                                       |          3 |        146 |          0 |         15 |        161 |
| front-end\src\Portfolio\Holdings\HoldingItem                                                                           |          1 |         86 |          0 |          8 |         94 |
| front-end\src\Portfolio\MetaPortfolio                                                                                  |          3 |        282 |          3 |         38 |        323 |
| front-end\src\Portfolio\OpenOrders                                                                                     |          3 |        166 |          0 |         19 |        185 |
| front-end\src\Portfolio\OpenOrders\OpenOrderItem                                                                       |          1 |        139 |          0 |         13 |        152 |
| front-end\src\Portfolio\PortfolioFilter                                                                                |          3 |        208 |         60 |         23 |        291 |
| front-end\src\Portfolio\Transactions                                                                                   |          3 |        180 |          0 |         23 |        203 |
| front-end\src\Portfolio\Transactions\TransactionItem                                                                   |          1 |        152 |          0 |         15 |        167 |
| front-end\src\RegisterPage                                                                                             |          4 |        296 |          0 |         29 |        325 |
| front-end\src\Settings                                                                                                 |          3 |         12 |          0 |          8 |         20 |
| front-end\src\Trade                                                                                                    |          3 |         12 |          0 |          8 |         20 |
| front-end\src\_actions                                                                                                 |          6 |        335 |         51 |         51 |        437 |
| front-end\src\_components                                                                                              |         21 |        911 |         69 |        117 |      1,097 |
| front-end\src\_components\Alert                                                                                        |          2 |         76 |          0 |          8 |         84 |
| front-end\src\_components\Charts                                                                                       |          6 |        464 |         65 |         64 |        593 |
| front-end\src\_components\Charts\Pie                                                                                   |          2 |         98 |          0 |         14 |        112 |
| front-end\src\_components\Charts\TimeSeries                                                                            |          3 |        364 |         65 |         50 |        479 |
| front-end\src\_components\Dropdown                                                                                     |          2 |         70 |          1 |          9 |         80 |
